time,xx,yy,zz,yz,xz,xy
0,0,0,0,0,0,0
0.01,-0.004837116,-0.0006292894,3.63933e-07,-2.2175187e-05,-0.003700934,0.0017354614
0.02,-0.005910979,-0.0007866967,5.523489e-07,-1.7350432e-05,-0.004441851,0.0021342868
0.03,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.04,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.05,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.060000000000000005,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.07,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.08,-0.005910987,-0.00078669627,5.523457e-07,-1.735073e-05,-0.004441855,0.002134289
0.09,-0.011054083,-0.0015699073,1.5646483e-06,1.48906165e-05,-0.008028129,0.004072606
0.09999999999999999,-0.01214008,-0.0017385209,1.8002168e-06,2.3673683e-05,-0.008767167,0.004484049
0.01,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.02,-0.0024333186,-0.0009294106,2.6963073e-06,0.00019581082,-0.0025105565,0.0013358598
0.03,-0.002422078,-0.00091961655,2.6658163e-06,0.00019331081,-0.0025186231,0.0013222859
0.04,-0.00019323414,-0.00010321279,3.252465e-07,2.4953128e-05,-5.185975e-05,0.00014485576
0.05,-3.7415903e-05,-4.8808092e-06,1.4367675e-09,-1.545478e-07,-5.854717e-06,1.8162815e-05
0.060000000000000005,-3.730765e-05,-4.8468296e-06,1.2760063e-09,-1.6781435e-07,-5.8282035e-06,1.8138728e-05
0.07,-3.7307647e-05,-4.84683e-06,1.2760067e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.08,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.09,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.09999999999999999,-0.004837116,-0.0006292894,3.63933e-07,-2.2175185e-05,-0.003700934,0.0017354614
0.01,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.02,-3.7307647e-05,-4.84683e-06,1.2760067e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.03,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.04,-3.7307647e-05,-4.84683e-06,1.2760069e-09,-1.6781432e-07,-5.828203e-06,1.8138728e-05
0.05,-0.004837116,-0.0006292894,3.63933e-07,-2.2175185e-05,-0.003700934,0.0017354614
0.060000000000000005,-0.0048802053,-0.0006348905,3.766064e-07,-2.137803e-05,-0.0037104364,0.0017519136
0.07,-0.004880206,-0.00063489063,3.7660675e-07,-2.1378002e-05,-0.0037104357,0.0017519138
0.08,-0.004880206,-0.00063489063,3.7660675e-07,-2.1378002e-05,-0.0037104357,0.0017519138
0.09,-0.004880206,-0.00063489063,3.7660675e-07,-2.1378002e-05,-0.0037104357,0.0017519138
0.09999999999999999,9.620783e-05,4.0665112e-05,-1.6150491e-07,-1.365538e-05,-2.9283407e-05,-6.0012822e-05
